Centre Name,Operating Hours,CHP Operating Hours,AAC Operating Hours,Address,Postal Code,Latitude,Longitude,Division 2025,Category,longitude,latitude
Sunset Way Residents' Committee,"Every 2nd and 4th Monday of the month,  9:00am - 12:00pm","Every 2nd and 4th Monday of the month,  9:00am - 12:00pm",,"113 Clementi Street 13, #01-39, 120113",120113,1.323684011,103.7701323,Ulu Pandan,CHP,103.7701323,1.323684011
Gateway View Residents' Network,"Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm","Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm",,"204 Clementi Avenue 6, #01-09, 120204",120204,1.320985887,103.7632317,Bukit Timah,CHP,103.7632317,1.320985887
Clementi Meadows Residents' Network,"Every 2nd and 4th Wednesday of the month,  9:00am - 12:00pm","Every 2nd and 4th Wednesday of the month,  9:00am - 12:00pm",,"306 Clementi Avenue 4, #01-465, 120306",120306,1.321438261,103.7659013,Bukit Timah,CHP,103.7659013,1.321438261
St Luke's ElderCare Active Ageing Centre (Care) @ Bukit Timah,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday",,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday","310 Clementi Avenue 4, #01-263, 120310",120310,1.32027016,103.7659449,Bukit Timah,AAC,103.7659449,1.32027016
Lions Befrienders AAC @Clementi 344,"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm

CHP Operating Hours:
Every Thursday,  2:00pm - 5:00pm","
Every Thursday,  2:00pm - 5:00pm","
Mon - Fri: 9.00am - 6.00pm

","344 Clementi Avenue 5, #01-132, 120344",120344,1.31812074,103.7690884,Clementi,AAC & CHP,103.7690884,1.31812074
Lions Befrienders AAC @Clementi 367/366,"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm

CHP Operating Hours:
Every Wednesday,  9:00am - 12:00pm","
Every Wednesday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm

","366 Clementi Avenue 2, #01-527, 120366",120366,1.312549536,103.7716764,Clementi,AAC & CHP,103.7716764,1.312549536
Lions Befrienders AAC @Clementi 367/366 - Branch,Mon - Fri: 9.00am - 6.00pm,,Mon - Fri: 9.00am - 6.00pm,"367 Clementi Avenue 2, #01-525, 120367",120367,1.312940672,103.7716487,Clementi,AAC,103.7716487,1.312940672
Wellness Space @ Clementi Peaks,"Every 1st and 3rd Saturday of the month, 9:00am - 12:00pm |
Every 2nd and 4th Friday of the month, 2:00pm - 5:00pm","Every 1st and 3rd Saturday of the month, 9:00am - 12:00pm |
Every 2nd and 4th Friday of the month, 2:00pm - 5:00pm",,"463 Clementi Avenue 1, #01-18, 120463",120463,1.310965805,103.7678634,Clementi,CHP,103.7678634,1.310965805
West Coast Heights Resident's Network,"Every 2nd Wednesday of the month,  9:00am - 12:00pm","Every 2nd Wednesday of the month,  9:00am - 12:00pm",,"511 West Coast Drive #01-343, 120511",120511,1.310320167,103.7604116,West Coast,CHP,103.7604116,1.310320167
St Luke's ElderCare Active Ageing Centre (Care) @ Clementi,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday",,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday","602 Clementi West Street 1, #01-25, 120602",120602,1.305124151,103.766301,West Coast,AAC,103.766301,1.305124151
West Coast Ville Residents' Network,"Every 1st and 3rd Friday of the month,  9:00am - 12:00pm","Every 1st and 3rd Friday of the month,  9:00am - 12:00pm",,"608 Clementi West Street 1, #01-89, 120608",120608,1.304341103,103.7665298,West Coast,CHP,103.7665298,1.304341103
SASCO@WestCoast,"AAC Operating Hours:
Mon - Fri: 8.30am - 5.30pm

CHP Operating Hours:
Every 1st and 3rd Wednesday of the month,  2:00pm - 5:00pm","
Every 1st and 3rd Wednesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 5.30pm

","704 West Coast Road, #01-431, 120704",120704,1.306347506,103.760538,West Coast,AAC & CHP,103.760538,1.306347506
